WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER,0.101,0.250,9.95,50,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER,0.251,0.500,12.80,50,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER,0.501,0.750,15.30,50,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER_EXTRA_INSURANCE,0.001,0.010,8.50,250,"Royal Mail International Tracked and Signed Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER_EXTRA_INSURANCE,0.011,0.020,8.83,250,"Royal Mail International Tracked and Signed Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER_EXTRA_INSURANCE,0.021,0.100,9.75,250,"Royal Mail International Tracked and Signed Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.001,0.100,11.40,250,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.101,0.250,12.45,250,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.251,0.500,15.30,250,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.501,0.750,17.80,250,"Royal Mail International Tracked and Signed Large Letter"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,0.001,0.100,6.45,500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,0.101,0.500,7.25,500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,0.501,1.000,8.55,500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,1.001,2.000,11.00,500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,2.001,10.000,26.60,500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,10.001,20.000,41.20,500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,0.001,0.100,7.45,1000,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,0.101,0.500,8.25,1000,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,0.501,1.000,9.55,1000,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,1.001,2.000,12.00,1000,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,2.001,10.000,27.60,1000,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,10.001,20.000,42.20,1000,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,0.001,0.100,9.45,2500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,0.101,0.500,10.25,2500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,0.501,1.000,11.55,2500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,1.001,2.000,14.00,2500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,2.001,10.000,29.60,2500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVER_1PM,10.001,20.000,44.20,2500,"Royal Mail Special Delivery: Guaranteed by 1pm"
UK_STANDARD_FIRST_CLASS_LETTER,0.001,0.100,.63,20,"Royal Mail 1st Class Letter"
UK_STANDARD_FIRST_CLASS_LARGE_LETTER,0.001,0.100,.95,20,"Royal Mail 1st Class Large Letter"
UK_STANDARD_FIRST_CLASS_LARGE_LETTER,0.101,0.250,1.26,20,"Royal Mail 1st Class Large Letter"
UK_STANDARD_FIRST_CLASS_LARGE_LETTER,0.251,0.500,1.68,20,"Royal Mail 1st Class Large Letter"
UK_STANDARD_FIRST_CLASS_LARGE_LETTER,0.501,0.750,2.42,20,"Royal Mail 1st Class Large Letter"
